model_name,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,cohen_kappa,matthews_corrcoef,auc_macro,auc_micro,inference_time_total,inference_time_per_sample,total_params
bilstm,0.85,0.8234427609427609,0.8747411616161617,0.8546521994624786,0.85,0.8328237175560269,0.8566429554941325,0.8084046493805084,0.811665102428036,0.9792941982660511,0.977505,1.220599889755249,0.006102999448776245,84102
mamba_inspired,0.81,0.763866807984455,0.8267123741388447,0.7664944692936414,0.81,0.7607868581939788,0.8145755800357193,0.7541964487855364,0.7556318796154983,0.9714828618812434,0.9742749999999999,0.743908166885376,0.00371954083442688,133126
gru,0.795,0.7464137214137215,0.8116005197505197,0.763712249037452,0.795,0.7498228620212899,0.7995178163566959,0.7355776982361097,0.7370861387825594,0.9634401757333747,0.9670349999999999,0.47099733352661133,0.002354986667633057,96646
mega_lstm,0.79,0.7803779835029835,0.836952530858781,0.7514576359435332,0.79,0.7459355379578732,0.8025201071656732,0.7293727246367473,0.7339750930883502,0.9574735813113369,0.959835,2.1183674335479736,0.010591837167739869,3517190
cnn_gru,0.735,0.7147823860727086,0.7716136712749616,0.7031746696030264,0.735,0.6954249043266566,0.7456165336540806,0.6581196581196581,0.6613978374766771,0.9641627342509596,0.963035,0.6245951652526855,0.0031229758262634275,74502
conv_transformer,0.705,0.5726307189542483,0.7080871848739495,0.6283041652955716,0.705,0.5871165838107472,0.6980957392113709,0.6216008209338122,0.6255701198004567,0.940638862929025,0.948825,0.4270210266113281,0.0021351051330566408,456326
lstm,0.68,0.6649983396306925,0.6876842274379039,0.6254433678197424,0.68,0.6249119841964438,0.6700214160244792,0.5775577557755776,0.581000427646963,0.935577476514345,0.932685,0.5112791061401367,0.0025563955307006834,125062
mamba_transformer,0.66,0.576877370995018,0.7027608665843961,0.5716803995636137,0.66,0.5607984607984609,0.6679841269841269,0.565328560470468,0.5740331236395707,0.9205457695989493,0.9314899999999999,0.1786060333251953,0.0008930301666259765,54982
transformer_like,0.645,0.6732264949105367,0.6831450961673096,0.5315922414097309,0.645,0.5272048069842187,0.6256031037722214,0.5278470490440565,0.5332655845342915,0.9171368873666129,0.925775,0.2116241455078125,0.0010581207275390625,150022
l2_regularized,0.645,0.5266102938205373,0.6431467724706558,0.5627253180723281,0.645,0.5171561504100858,0.6192973313738641,0.5453963375592266,0.5587849186687918,0.8961891480805261,0.90939,0.10452389717102051,0.0005226194858551026,157190
self_attention,0.595,0.5727964165464166,0.6286882215007215,0.45950348475437885,0.595,0.45989848765134195,0.5647070115932479,0.450866072336531,0.4621257848059025,0.8691959814325795,0.8723699999999999,0.48937034606933594,0.0024468517303466797,415366
swish_cnn,0.475,0.6067390321121665,0.6926763907734056,0.35351849831061966,0.475,0.31433749575573605,0.46269278360138144,0.3305492683859861,0.42729411535694084,0.9531767149770859,0.8490700000000001,0.16756558418273926,0.0008378279209136963,157958
l1_regularized,0.445,0.18881894057950396,0.26745038412291927,0.2900648538834193,0.445,0.22759891180943811,0.33277617119722386,0.19149246121348962,0.22351606302589863,0.7725514459881851,0.8161900000000001,0.13451123237609863,0.0006725561618804932,157190
bert_like,0.415,0.12943696450428396,0.2573470012239902,0.2369416557544013,0.415,0.16326499962454008,0.3130250056318991,0.17894736842105263,0.20804268851734853,0.71178333326983,0.7365925,0.4920921325683594,0.002460460662841797,2176262
hierarchical_transformer,0.41,0.15104166666666666,0.23796875,0.18606233836940247,0.41,0.1301289935976283,0.25917494559560983,0.04002603319232034,0.10141061658344251,0.7348908160824897,0.7742199999999999,0.2630472183227539,0.0013152360916137695,421894
pure_mamba,0.395,0.06583333333333334,0.156025,0.16666666666666666,0.395,0.09438470728793309,0.22369175627240143,0.0,0.0,0.6028324393794988,0.7076,0.23417377471923828,0.0011708688735961913,232966
stacked_lstm,0.395,0.06583333333333334,0.156025,0.16666666666666666,0.395,0.09438470728793309,0.22369175627240143,0.0,0.0,0.6008565962190648,0.6753049999999999,1.0585997104644775,0.005292998552322388,264966
gpt_like,0.395,0.06583333333333334,0.156025,0.16666666666666666,0.395,0.09438470728793309,0.22369175627240143,0.0,0.0,0.3761530452281544,0.6337975,0.5527193546295166,0.002763596773147583,3226886
sparse_attention,0.395,0.06583333333333334,0.156025,0.16666666666666666,0.395,0.09438470728793309,0.22369175627240143,0.0,0.0,0.3742854970696503,0.6344124999999999,0.5229685306549072,0.002614842653274536,414982
separable_cnn,0.395,0.06583333333333334,0.156025,0.16666666666666666,0.395,0.09438470728793309,0.22369175627240143,0.0,0.0,0.8722428908398029,0.7795375,0.1799149513244629,0.0008995747566223145,76489
batch_norm_cnn,0.2,0.193717277486911,0.4201570680628272,0.18565400843881855,0.2,0.08063745563745565,0.12408374283374285,0.040997362742747345,0.13326990609950468,0.7074085214156061,0.6448525,0.19210314750671387,0.0009605157375335694,193798
